id,sentence
2,因为一年一度的端午，带了婆婆、爸妈来吃，可是，人家就是看不起我们等“穷苦人家”，难怪叫西关“世家”，我们不算是世家，因此，等了半个钟也没人来收拾桌子、开卡、倒水，汗！！！！！\n足足等了45分钟，才有人理我们，开了壶茶--个人猜测，也许人太多，水壶不够！！！服务员也不够！！！\n这也没什么。\n毕竟是世家，要试试味道吧。\n满心欢喜地点了广州式的点心和菜，也许是人太多，厨子煮到手软，一道太咸，一道太油.....\n最后埋单，也干等了半小时。\n晕？？？？？？\n这里收服务费，这点才觉得浪费！！！
60,感觉他们家的菜做的要不就是很咸，要不就是油很大，反正我个人是不太喜欢的~！鱼做的还味道还算可以~~价格稍微有点高了
91,早就想好要吃的，吃好火锅么正好呀~~\n找了好一会儿才找到啊~~\n点了热的大壹丸1号和芋Q牛奶冰，大壹丸1号选了仙草汤底的，有花豆有珍珠有芋Q还有金薯，温温热热蛮好喝的~~芋Q牛奶冰选了一半芋Q一半金薯，金薯就是地瓜丸，比芋Q要更好吃哦，浓浓的奶味加上满满当当嚼劲十足的芋Q和金薯，不错呢~~下回要吃吃看冰的大壹丸1号~~
117,过生日在这里订购了一个双层的黄油蛋糕，之前的蛋糕都在这里定的，不过之前都是吃奶油的。感觉还是不错的。\n但是谁想到。。这个的这个黄油的，真是个大悲剧！\n吃起来十分腻！我平常超级能吃甜食。什么暴风雪两大杯一点不成问题。特别能抵抗腻的感觉。但是这个。。我去\n一口下去就不行了。黄油层十分的厚实。非常糊嘴，特别腻。以后还是不要创新的好= =
168,会员优惠时不时有。但是水果新鲜度很低。服务的态度更是不敢恭维，收银员很累可以理解，但是请不要跟欠钱的大婶似的把客户的卡甩来甩去。
182,老公生日那天去的，天上下着小雪，纷纷扬扬的，一路走过去，很有感觉。路上还帮助了一对儿也在找这间餐厅的情侣，助人为乐吗~\n老公先到的，柔和的灯光下，老公的笑脸……\n服务员小妹非常贴心的点了小烛台，报了团购号，因为我和老公都不喝咖啡和红茶，所以问问能否给换成其他饮品，差额我们自付。\n瘦瘦的长辫子的服务员MM特别可爱，又体贴又热心，帮忙给问了半天，其中一个胖胖的服务员MM很硬的回了句不行，当时弄得我有点心里波澜哈，多美好的日子，我希望一切都好的。\n最后长辫子MM说，我们买一杯果汁，可以优惠赠送一杯。\n不是钱的问题，而是态度，感觉很舒服。然后就一直注意这个长辫子的MM，真是对每桌客人都是热情又体贴的，真不错，严重表扬下啦~~\n老公点的牛排，也是这个长辫子MM推荐的五分熟的，老公之前的全部要八分熟，从未尝试过五分熟，这次的尝试，被老公津津乐道了好久，真的是唇齿留香，说以前吃的都是牛肉，这回才叫品尝牛排，呵呵，老公满意，我自然也是无比开心的啦~\n我最喜欢的奶油南瓜汤，真的非常惊艳，只一勺，已经被感动了。还尝了一勺老公的奶油蘑菇汤，嘿嘿，一勺就成了。\n一顿饭吃得真的很高兴，我希望老公的生日能很完美，准备了很多小惊喜，来THE BISTRO更是锦上添花，所以四星推荐，并且真心感谢。
186,环境都几好，几明亮几大体，比较适合家庭聚会，出品中规中矩，比唔倒咩惊喜也都无咩大的过错，一副大户人家的样，可惜管理跟唔上，对唔住篱个价钱．
195,和朋友去过一次，当时跟着导游听着历史去的，不听不知道，和珅在当代真是厉害啊，一年三进官，而且长的非常漂亮，还有关于和珅贪玩腐败啊，有个藏宝楼，有10000个福字等等。。比较好玩，建议大家都听听历史，要不然，你看不出有什么的
209,店的位置就在路口十分方便寻找，里面的东西也就大同小异了，一共三层，三楼的地方比较小，通常都比较抢手，原因的话，大家都懂3的
218,港岛、九龙和迪士尼等该玩的地方也都玩过了，决定去第二大离岛南丫岛看看\n据说天虹是当地最大的海鲜酒家，于是就在1个多小时长途跋涉之后试吃了下\n看了下菜单，发现套餐里的东西实在不合胃口，所以就单点了两份海鲜\n说到海鲜基本就是冲着超大个头的濑尿虾去的。。。。所以椒盐濑尿虾当然不让（200米）\n之前也听说了芝士焗龙虾也很美味就点了一份（230米）\n上菜了发现说是一份其实也就是一只濑尿虾分成4段和一只小小的龙虾对半分\n看着又是椒盐又是芝士，本以为都是重口味的\n但尝了之后觉得海鲜本身的鲜味还是很重的，肉质也很紧\n回来的时候正好赶上了下午的那班免费天虹的船\n本以为就是个小破船，结果等啊等，居然等来了一艘超级可爱的小游艇！！！\n哈哈，比起公共的摆渡船，条件实在是好太多了啊。。。\n无论外观和内设都非常的别具一格，均以可爱的彩虹和海洋生物为主题\n而且还是中环、尖沙嘴两处停靠的\n店家真是用心良苦哦～\n价格虽贵但也算是不枉此行了
