sentence,label
味道还不错，粥的量还是挺多的，一家人要了好几种粥，最喜欢的应该就是紫薯燕麦粥了，微甜的味道，软软糯糯的，但是我们要了很多小菜，味道倒是一般，还有的偏咸。几个人喝粥什么的，居然吃掉了二百多块。。。,1
据说是台湾有名的做类似炸鸡的连锁店，这家和豪大大、第1佳不太一样！豪大大是裹干粉炸；第1佳是事先炸一次，点单再复炸；这家是裹湿粉糊炸，而且是炸好再称分量！口味还可以吧！店员还满热情的！,0
还是暴风雪味道最好了。 不过倒杯不洒，感觉动作也太快了一点吧，我都没看清，他就结束了，我还以为会持续一小段时间呢，呵呵。,1
"这里的米粉我很喜欢吃的，尤其是酸辣笋尖 香菇肉丝粉 牛腩粉,我和朋友来吃过好几次,有时下午茶我也喜欢吃他们家的米粉.味道很不错的.",1
她家开在那里很久了， 以前去过那么几次，总体性价比还是不错的， 就是服务比较差一点，环境一般了点。 她家的老字号还是有自己的特色的， 唯一不足的地方就是没多大进步，这也是 国营老字号的通病。,0
老板钟爱这家，有幸蹭饭吃，这里的环境真的很好。味道也很地道，稀饭这里的寿司，色相也相当的诱人。总之，爱寿司的朋友们必要来试试。,1
新酒店里面的环境不错 菜肴很可口 还有西班牙的水果酒 服务不错 领班来自VELENA好像 让我想起了敢死队。。。 西班牙语一点也听不懂。。。。,1
类似于萨莉亚，不过价格比萨莉亚稍贵点。也有无限畅饮，15元/位，尝了拿铁、普洱茶，还算过得去。 东西味道也不错，不过就是没什么人气，估计地段不好吧。,0
地方比较小，不过还是挺新的，老板好像对有些游戏也不是很熟悉，呵呵，不过总体上来说还算不错。本来说一桌一包爆米花的，后来，老板还是让我们畅吃的，嘿嘿。 那边附近很多桌游店的，本来我们不是去这家，后来因为那家没有地方了，才到的这家。,0
团购的，288号称10头鲍的。尼玛你们家什么称？这东西都好意思叫鲍鱼，还十头？失望。本来想着好味道还可以去下一次，但是这个出品在店里号称卖688，那我脑子是被驴踢了才会去吃！还不如沃尔玛100块的出品。失败。浪费钱！,0
开业优惠时买了还不错。索性办了一张卡，200元打八五折。说实话现在的面包实在是贵的厉害，他们家的东西总体还不错，用料比较实在，比较新鲜，价位算是中等偏上，部分含奶酪的面包还是不错的！基本上都尝过来了。最喜欢銪鱼三明治和玉米三明治，香蒜面包,0
以前常去书城，现在常来购书中心，这里人没有书城那么多，而且环境好狠多，楼下就有STARBUCKS买完书马上喝咖啡边看书，太惬意了~我还办了卡~可以打折，书城就不行了~而且这里很环保哦~没有袋子，都是用纸绳绑着~~,1
去买的基本都是丽园路这家店，东西相对于来伊份啥要便宜 味道么还可以，搞活动时还挺便宜，醉鱼干，泡椒凤爪，鹌鹑蛋啥都挺喜欢的 相对来说蜜饯类不是很好吃,1
生意超级好，不预定基本没有位置。菜量很大，人均一个菜的话基本吃不完。确实够辣，我们点的都是微辣的上菜后大家还是吃的满头大汗，但是确实越辣越香~,1
这家店在海港城附近，出了地铁不知怎么就逛到这里。自己送上门没有不吃的道理~O(∩_∩)O~ 我们去时候是周五，有特惠活动，云吞家蟹黄粥有个套餐很划算，味道很棒。 香港的特色云吞都是鲜虾馅儿，美味养生不会肥。 之后结账还送了优惠券，所以我们第二天的晚餐也在这里解决了，价格很实在。,1
想吃的四种口味都买了，觉得真的不错~皮子很酥松，但是不油，很好很好~~买的人也不少，总之挺赞的~~字数字数字数字数字数,1
要去云南了，哥说请我吃饭。问我想吃啥，我就说想吃肉。于是到哥公司楼下，找了家烤肉。绝对是肉。哈哈 点了牛肉，鱿鱼，五花肉，金针菇，还有些凉菜。我又单要了碗凉面。 话说肉很嫩，很好吃。最爱的还是金针菇。嘿嘿。 拌的凉菜味道很好，我们几口就给抢光了。 凉面味道也觉得超好。可是哥说一般，因为他家那边凉面正宗。但是这是我吃过的，目前来说最好吃的了。,1
这个品牌的便当一度很风行，但是这几年好像有下降的趋势。吃过几次他家的便当，味道还可以，觉得促销太少，现在的饮食店或多或少都在搞活动。他家干巴巴的，什么活动都没有，根本不能吸引人们的注意力。,0
最常去的超市之一，有免费班车坐，这点很喜欢，而且离新光也近。超市很大，东西也多，不过有时那些促销员态度很不好，一次特生气就把人家说了一顿,1
喜欢安静、特色的就餐，一定要来这家店！所有菜品都是豆腐蔬菜之类做的，以素做荤，形似味似！环境古香古色，佛韵十足！喜欢三文鱼、椰奶心形布丁、南瓜粥、手卷、炒米饭！铁板鱼、雪梨汁也不错~,1
去吃寿司自助，出品比不上大禾，种类也少，但是和那些什么禾绿之类的比还是划算的。 寿司是手握的，不会很大块，三文鱼也新鲜，味道都不错的。 雪糕虽不是明治，但也有雀巢。 广岛烧饼，奉劝大家还是不需要尝试了。 服务方面，蛮不错的，下单后不久就到，59的价位还是可以再来尝试的，下次可以试试肥牛自助，毕竟本人还是喜欢多吃肉哦，呵呵。。。,0
如果各位去肥婶包房食饭的话千万不要点菊花茶饮啊！点解？因为今日有食客发现D菊花--生虫，整个茶罐里爬满了几十只虫仔，好恐怖！服务员根本睇都唔睇就直接冲茶俾人饮，搞到D食客一D都无嗮胃口！今后建议大家看清楚再点，对于商家这种工作疏忽要严厉批评。再此曝光事件，希望商家把好材料关！,0
不知道为什么点评那么少啊。。。味道很好的一家店，菜是一些家常菜的创新，很不错的。而且价钱很便宜。以前经常去吃的。很喜欢，哈哈,1
显然也是由于刚开业的关系 上菜慢得让人无语 最后无奈退了两个菜 菜量整体较少 烧卖、蟹粉小笼做的很不仔细下面也没垫个胡萝卜片 四个都粘到一起了 糖醋熏鱼很好吃 本人不爱吃熏鱼都吃了整整三大块 整体环境比较好 开放式的就餐环境但是除非你是姚明之类的否则不容易从外面看到里面 整体价位较高 很多管理类得服务人员应该是南方来的 其他的估计本地招的 连菜名都没记清楚,0
老克勒额米道！环境很嗲~菜色味道也很不错~很实惠~ 212，翅汤，甲鱼，雪蛤，鹅肝，龙井都到位了~ 不过这地方适合小胃口的，菜都很小盆很精致~ 大菜没点，不知道大盘的鲍参翅肚到底正不正宗~ 改天还要去尝尝~,1
他们家的蓝莓闪耀很不错的，山药的口感是非常特别的，不是很滑腻的，而且有一股很清香的蓝莓味道，不知道是不是用罐头食品加进去的，总体还是很好,1
其实对于料理并不是很感兴趣，还是喜欢烹饪后的香气扑鼻。不过这家店的环境还是比较赞，也方便，尤其是那年平安夜在这吃的套餐，虽然价格不菲，但抽到了一部手机，也算是我的幸运店啦^_^,1
小聚或者随便吃吃都行 个人觉得烤翅一般 但是烤馒头和花卷好吃 有刷酱的 骨肉相连一般吧 其他味道中规中矩 不用特意去吃 碰上吃吃还行,0
味道什么的都还好，但是食材是在令人不敢恭维，尤其是汤，一口喝下去那个味道实在是……食物感觉调料尤其是味精之类的放了太多，吃完难受了一下午。我想不会再去了。,0
想吃没吃过的湘菜，所以就在点评上搜索到了这家店。7点半左右到的，翻了菜单看到有黄鸭叫一阵兴奋，想吃啊，谁知道点菜的时候说是没有了，失望！点了干锅花菜豇豆，红椒扣肉，猪肚XX（名字忘记了）。总体来说味道一般般啦,0
距离达官营比较近，去过几次，每次都是七天的量，因为自己煎药比较麻烦，都是让医院代煎了，也比较放心，中医还是很可信的,1
觉得这里的环境还可以，比较有就餐的氛围，彩页比较多，但是味道真的不怎么样，似乎和餐厅档次不搭，比较失望，价格似乎也贵了点。。,0
朋友带这来这看球幕电影，第一次看，一个字：棒，两个字，真棒 电影是探索太平洋，剧情一般吧，如果再多一些自然环境就好了， 如果在这看宇宙类型的片效果应该更好,1
味道很鲜美，挺香的呢，呵呵，很棒的啊，尤其是喜欢吃奥尔良鸡腿饭 还有排骨饭。觉得这俩个的味道特别的好吃，有时间还去吃，嘻嘻。,1
作为西安人，城墙是我的骄傲，因为离得近，今年办了年卡，随时可以上去溜溜，哈……真的很爽！就是盛夏不行了，那上面没一棵树，只能等日落西山再去了，盼着金秋时节……,1
刚开张的时候简直是物美价廉，再配上送的券，真的是很划算，所以有很大一段时间的午饭都是在那解决的。 可是后来由于物价神马等等等等等等的原因，价格涨了但东西感觉少了，偶尔去一次的话觉得也是不错的，但不把那当长期饭堂了。 对了，银鱼蒸蛋很好吃，可是觉得不值那价钱。,1
味道还算正宗，但价格确实够贵。不仅烤鸭贵，连青菜都贵，还要加收10%服务费，要是包间还有最低消费，就这样还要等坐，没办法。感觉九华山的更物美价廉。,1
去年情人节的时候收到了某人送的Leonidas心型的一盒巧克力 里面每种味道的巧克力有2颗 味道非常好吃，是我吃过最好吃的巧克力 酒心非常浓郁~很正点，大爱 价格的确是有点小贵，平均算下来25元一颗 一盒要500元，也是我吃过最贵的巧克力了，哈哈 不过我强烈推荐男生买他家的巧克力送女生 就这味道，绝对能打动芳心,1
小笼包纸啊小笼包纸 地方远是远了一点 哎 还是当场吃的比较好 外卖回来94差了一点 吼吼吼 小时候喜欢次小笼 现在不怎么喜欢了 更喜欢生煎了,1
没什么特色菜品，没有特点，环境一般。 其实也没有什么不好德。 但是总体感觉就是没什么可以吸引我去第二次得。 牛排真的很一般,0
11.05.25 说DQ完全不如COLD STONE，也不能这样绝对，喜爱它的还是大有人在，况且比起后者，它的价格也要稍微便宜一些。 不知是之前吃的暴风雪系列太甜，还是现在经过了改良，我选择的香蕉奶油系列，味道倒是还不错，香蕉的香味配合微甜的冰淇淋，口感倒是也不差。 服务稍嫌不够，忘了帮我加杏仁，只是重新搅拌了一下，却没有重新帮我做一杯。,0
"地方忒别小,客流也小~~~ 服务员态度也不好,口感就更不用说了~比超市买的还难吃,总之以后再也不去这家店了,东西也不是很便宜.",0
"一直觉得烤肉,还是牛牛福的最好吃..他的酱比别处的酱要香点.当时在吃的时候,后桌的女的和服务员吵起来了,但是个人觉得服务员态度还算好,客人有点无理取闹.所以给服务加分. 下面能以半折买邱公馆的蛋糕很是吸引人.最让我感慨的是,我和妹妹刚逛了伊势丹买了邱公馆的蛋糕,过来这边还五折,实在是让人郁闷.",1
朋友过来玩，因为在中山公园，就住了这家，结果是最便宜了，可是房间实在太小，设备也不行。晚上没开空调也热的要死，晕死了，以后估计不会住如家了,0
很喜欢他们的装修风格 里面的牌子还都是大牌的 感觉有保障 买了地板什么的 其实有些东西之前没考虑买 谁知道有的一些很喜欢 结果 超出了好多预算,1
比较老的影城，虽然挨着二环边，但并不是很好找。地下一层，从售票处就能看出影院规模大小。没有休息和展示区，不过设施倒也齐全。票价并没比大影院优惠太多，所以不常去。,0
原来一直听同事说他家麻辣花生好吃，后来自己去买了一份回来吃，味道确实不错，那以后就上瘾了，每次去那里都会买一些回来。,1
第一次是同学带我来吃的，环境也不错，一边吃一边看风景，面挺好吃的，汤底也不错，喝了几口，炒饭好吃，套餐觉得不太实惠咯,0
感觉他们家的菜做的要不就是很咸，要不就是油很大，反正我个人是不太喜欢的~！鱼做的还味道还算可以~~价格稍微有点高了,0
环境方面就是一个字——挤！！！！ 而且是很挤，跑步机都是一个挨着一个，一点空地都没有。室内装修和设施都感觉乌突突的，不明亮。只有一个操室，而且要提前很久就是排队，去晚了在后面根本就看不见。 不过价格就是那样，原来700元一年的时候还不错，现在600元一年半，所以质量自然就是这样了,0
上次到大悦城就跑到B2去看看，找到了传说中的万宁，门口就是一个大牌子写着正在优惠的洗发水，他家的优惠活动还是挺多的。进去逛了一圈，觉得和屈是差不多的感觉，说实话，如果是买很多东西的时候首选的还是那种大型的超市，而像这种小超市，一般都是应急的，不会买很多东西，所以一直也没有办会员卡。,0
愣是把人均吃出一倍来 不过真的很好吃 如果不是很能吃辣的话建议多点些肉食海鲜，比较不辣 蔬菜真的很辣 不过冬天满满一大锅，吃着真的很香 米饭一碗分量很足 两个女生的话，其实可以要一碗,1
这里的房间很大 采光很好 每个房间都有大大的窗户 每天早上 阳光能够摄入房间 很舒服 而且房价不贵 很实惠 在上海能找到这样的房间真是不容易啊,1
