id,sentence,label
30563,朋友请客来的，鱼头吃得很过瘾后来又涮了些肉和菜，总体感觉不错，调料也很特别十足的四川风味，爱吃辣的朋友可以一去。,1
32819,原先办图书证要200，一直没去办，后来得知图书证办理不要钱了，就赶紧办了张，不过书架间隔间太小了，只能容纳一个人，如果两个人就太拥挤了,0
7273,在网上找到的雪姐，到第一看就是大排档，哈哈，不过环境虽然很差，但是好在心情不错，所以东西吃起来也就很舒服，同去的猪们一口气点了好多海鲜,1
39761,只吃了朝鲜冷面。10元的价格这个汤汁味道很不错。但是上面的配料肉是方腿片就一般了。\n听说年糕不错。下次试试看别的。,1
37996,是看了星尚的节目才过去买了试试的，哎，又一次被星尚给坑了，能不能真的介绍几个好吃的地方啊，真的很一般，服务态度也很冷漠，里面的馅料包括外面的脆饼真的不怎么样，星尚你们就没有真的好吃的地方可以介绍了吗，诚信懂吗。,0
15949,口味还是吧，好像连锁店开的还是蛮多的，听的名字还是很霸气啊，有时候会搞些活动，可以竞争比较激烈吧，随便吃吃还是可以的,1
28302,华润万家旗下的一家精品超市，各种商品的种类很给力，红酒有近百的品种，包括拉斐、武当红、龙船、狄士美等1855列级酒庄的酒，曲奇的品种也很丰富，有德国的、法国的、丹麦的、比利时的、意大利的和英国的等等，各种进口巧克力的数量也是其他超市没法比拟的，最主要的是能够刷华润万家的“提货凭证”卡，大爱！,1
30751,想到我俩每次自助都爱初花，也要有点新尝试，就来了这家，结果悲剧了有木有？？？？？？一样的价格，性价比哎。。。。。。真心忍不住不吐糟！严重不值三百块啊！我知道新天地地价贵，但菜也不至于就这样吧\n环境普通，蛮暗的，有个烧烤的地方，比较像韩式的，优点是桌子还蛮大的\n菜式少，好吃的更是少的可怜= =\n刺身拼盘，三文鱼、金枪鱼、甜虾什么的，厚切新鲜程度一般\n三文鱼腩，就是一坨肥肉，看着都倒胃口，还限量一刚。。。\n海胆，米道还不错，可是也限量一份，刚吃出点味道来就米有了册那\n寿司，金枪鱼、象拔蚌、鳗鱼，都不好次\n芒果蟹籽沙拉，蟹籽都不带超过十粒的，雷得我风中凌乱\n黑毛牛拼盘，牛肉品质看上去不错，可是这烤炉不知道怎么回事，猛往上蹿火服务员也不理，吓得我们都不敢烤了，绝对是烤了个乱七八糟满头大汗，要么没熟要么焦掉了\n烤银鳕鱼，算是还不错的菜，可是烤银鳕鱼我还真没吃过哪家是难吃的\n烤鳗鱼，一看就是营养不良的鳗鱼，没有吃鳗鱼时该有的嘴巴的满足感，太瘦小了\n盐烤大明虾，在别的地方不怎么次的因为在这里实在没什么好吃的就点了几个，肉质挺嫩的，味道淡了点，蘸了烧烤酱来吃\n锅烧乌冬面，乌冬面没有Q劲，像蛋花汤\n韭菜饼，也算是还OK的，可是这里不是日料么。。。\n石锅拌饭哇靠都没哟松江的不到十块钱的一份好吃，酱料少，没有肉尽是怪怪的菜\n肥鹅肝，一口口的胆固醇啊，太肥了，像是得了脂肪肝的鹅\n牛肉粒，干巴巴的很老，还没味道\n甲鱼汤，我去啊，就是热水瓶烧出来的水\n芒果布丁，这货好意思叫芒果布丁除了是黄色的以外和芒果丁点关系都木有，淡出个鸟来了都\n冰激淋有香草和草莓味的，有光明冰砖和三色杯的味道好次\n服务是最气人的，尼玛一个个跟我们欠了她们钱似的，长那么难看还板脸谁吃得消啊，点菜点到一半经常会莫名招呼也不打一声就走掉的，走去帮男服务员搭讪一刚，擦！！！！还有你开的自助就是随便任吃的，用得着几个服务员在那边鸡啄议论我们吃的多伐，开不起自助就不要开尼玛！！！！！！\n不要再来就是浪费钱啊，同等价位好的选择太多，这就是一次失败的尝试！怪不得生意不好,0
17399,男友接我下班，肚子饿了一天啦，我俩都想吃湘菜，一直想来点评网评价极高的这里来吃的，今天终于来了，\n这一排有三四家湘菜馆，鱼下巴的生意貌似最好了。\n2个人，点了招牌鱼下巴微辣，小炒肉，香菜蛋花汤，店家非常贴心，不会乱推荐客人点菜的，本来男友还想再点个蔬菜的，店主说够 了够了，呵，挺贴心哦。\n鱼下巴：很大一盆，39，点的微辣，不过，也感觉好辣，好象我吃辣不厉害，男友吃得满头大汗，呵\n小炒肉：18元，放了豆豉炒的，好香哦，男友说很好吃的。\n蛋花汤，15元，也不错，吃完辣的，来口汤，乐哉\n他们家好菜都要尝的，可惜肚皮有限大哦，只能等下次罗,1
44247,第一次吃是朋友带我去的，朋友说那家味道不错，我们就去了。那天下着小雨，黄河道那边还在修地铁，人流很少，可是到了那看到居然是满客，服务员安排我们到了一件隔断间里，房间装修都是竹子的，很有野味的感觉，朋友做主点了菜品，上菜后，我们先喝汤，的确像朋友介绍的那样美味，不过，吃过饭后会感觉口渴的很，估计是味精放多了吧。朋友点的锅底都是鹅腿和竹荪，感觉吃锅底就可以吃饱，他还点了鹅头，和我老公两个人喝着小酒享受着美味。他家有各式各样的菌类，我们要了几样，好像有猴头菇、鲍菇、、、、等等，记不清这么多了，还点了些蔬菜，豆制品。我们三个人不知道花了多少钱，但是吃的很饱，最后还打包了不少东西。,1
21587,"朋友送的600元一张的精品礼券,周五打电话让送货,周六就送到了,物流很给力,打开箱子,看到葡萄上还有果粉,根据我的经验,应该是绝对新鲜才采摘的避雨葡萄(上海最近雨天天有,如果不避雨栽培,果粉肯定没有),避雨葡萄的好处我就不多展开了,反正露天葡萄是下一场雨就要打一次农药的,避雨大棚葡萄就不用打药,吃起来放心.\n里面品种好几个,要不是里面有本手册,还真不知道吃的是啥品种,终于吃到小时候的葡萄那种感觉了\n总结一下: 甜过初恋,甜到忧伤\n不到2小时,消灭了大半,才后悔应该省着点吃的,不知道这个券还有没有卖,在哪里才有卖呢",1
28713,听说了傣味火锅店，直到夏天突然想吃火锅就和朋友一起去了，那时生意也还好的，都有不少人。。。\n可惜菜不是非常新鲜，偶尔吃吃还好\n冬天很热闹的，人气挺旺，可能一不小心就被遗忘了,0
36256,"朋友结婚选择了在这里摆婚宴,据说送了现场布置,虽然不算十分隆重,但是还是挺温馨的.自带酒水\n婚宴现场状况百出,服务员态度很好,有什么要求都尽量满足.\n菜的味道还不错,样子客人.新人说,踩场的时候,觉得性价比OK,就定下来了",1
23675,之前落班，成日会过去吃宵夜。\n唔是话特别好味，只是开得比较夜。\n服务一般。有时夜晚唔算多人，但是都要等好耐。\n味道一般，好普通的肠粉。粥概配料都好少，粥是无咩味道的。\n感觉只是填饱肚的地方。,0
10915,新开张的日式料理店，一下子很想吃日本料理，就选了这里\n自助餐很划算，整本菜单上的都可以点\n生鱼片还是挺新鲜的，天妇罗和烤物都不错，可以尝试下\n不过可能新开张，还不能拉卡也没有发票，不太方便,1
36282,很不错的鸡排，而且是心形的，看起来很有爱啊，呵呵~~~·不过炸好之后是要切切小块的，不忍心啊啊，一般都是吃微辣的，辣辣脆脆的很可口,1
42517,每次都在这吃皮蛋豆腐...老板总是盐撒不匀...没吃过肉类的沙锅。我小的时候这边经常有一片占路卖沙锅烤串的，不知道是不是现在这家？,0
8118,下午和bf点了鸡肉卷和芒果玛格丽特，玉米片，味道相当不错，都是老外，环境也挺舒服的，服务员有时候比较难叫到，还是不错的，下次还要去,1
2738,领导带着去吃的，这的羊排羊腿真的很赞，而且他的排烟系统很强大，就是就餐环境惨了点，小木桌子，木凳子，给人一种很憋的感觉，最爱吃这的烧饼、还有大拌菜很好。总之很美味。去的8个人，吃了四百多。,1
35765,生意好了，有的时候服务就跟不上了，好不容易有位子做下了，可连个点菜的都找不着~~菜的味道还是不错的，价格也算实惠~~人多，上菜很慢的~~,0
31587,开了很长时间的一家饭店了，以前来吃的印象还是可以的，不过这两年是在走下坡路了。\n菜的味道不稳定，同一餐饭中，各个菜的水平都不一样，烤鸭还是不错的，鸭肉很嫩，烤的很香，要是包鸭肉的面饼再改善一点就更好了。鸭汤是没啥好喝的，还是选择打包带回鸭架子比较划算。\n豆苗炒的太油了，恨不得半盆都是油。\n大堂的桌椅摆放得密集了，坐的很拥挤，而且抽烟得人很多，有点乌烟瘴气。\n桌椅用的时间很长，有点脏了。而且碗碟都有破口。\n这些饭店的基本门面还是要注意的。,0
6951,优质的羊肉泡20，优质的牛肉泡18，凉拌牛肉20，蛋花汤4，味道中规中矩，在南郊附近应该算是不错了，凉拌牛肉挺好吃，就是端饭的娃太TMD瓷了。,0
22443,团购59元的时候去的，水果种类丰富，而且可以随便吃，服务生的态度也很好。自助餐的种类虽然不是很多，但是菜的分量都很足，味道也不错。休息大厅和娱乐区域是分开的，因此比较安静。,1
3635,和文兴是隔壁，这家给人感觉更明亮，态度很好，爱吃他家的堡仔饭。外卖也是个很好的选择，加班时也常叫，量很足，菠萝油送到时都是包装得很好，冰冰的。,1
6120,"价钱是很便宜的,办了张会员卡,一年有效期.19:00前买一小时送一小时.\n我们是星期6下午去的,小包房60元/小时.有价格优势的.\n而且人不多,不用预约的,基本上去就可以唱了.\n点歌算方便的,触摸屏.\n装修风格一般,比较昏暗.小超市的东西也不贵,不过没什么选择的.",0
39674,我们看起来比较穷啦，不然怎么没有感觉到很热情，不然就是我们做错什么事了吧，不过也有可能是品牌的骄傲。不管怎么说都好，东西还真是不错的，还送一大堆东西，省不少钱啊，已经很满意了。,0
11738,黄振龙一直都标榜着他们的瘢痧茶是可以治疗百病的，就像做安利的标榜着他们的纽崔莱可以治疗百病一样。\n不过瘢痧也不是真的可以治疗百病，只不过是一个凉茶处方吧了！,0
12788,"星期六，睇完电影，就过左去上下九行街，之后，个同学话想吃必胜客杯芒果冰沙，间嘢都比较静，我地点左一个奥尔良PIZZA，一个三文鱼沙律，而且呢个三文鱼用烟熏过，再点左一份鸡翼，都几好味，点左两杯嘢，一杯就系芒果冰沙，一杯柠檬红茶，最后，我地都系吃唔赛，净翻一件pizza,嘻嘻！！！",1
12578,各种面条都很劲道，很入味，量确实不够一个成年男人吃的，不过也没办法现在物价都在涨吗，可以理解，很有特色的面条，建议可以去尝下这家小巷美食！,0
311,话说今天去禾绿 第一次去 点了点三文鱼刺身 等其他的 三文鱼刺身好薄啊 一点入口味道都木 还有阿三碧瓦比一点都么味道的完全就是面粉的感觉 金菇牛肉卷 外面包得牛肉太薄 引起牛肉炸了只有好脆啊 一点口感变化都木啊。。反正一塌糊,0
34618,用学生卡点了优惠的早餐，一个鲜虾鸡蛋卷外加一个珍鲜四宝粥，不过就是四个万字，那个碗克真是小啊，粥倒是很浓，但是好像放了很多的鸡精，不是很喜欢\n还有那个鸡蛋卷的皮不是很好吃，不过总体还凑合,1
27792,吃了几次确实感觉是量大，味道嘛也还可以，中午找同学喝点啤酒来这边两个菜足矣，要是都是肉菜的话还可以打包，足够晚上俩人吃的。现在变成电子点餐了，反而觉得没以前痛快了，刚进门先拦着点菜。蜀香已经成了我们实验室聚餐的保留餐馆之一！关键是可以自带酒水，不过这样的话九折卡就用不了了。环境稍微差一些，因为厨房就在门口出，所以整个餐馆总弥漫着一种什么味道。不过如果好几天没沾油水又兜里没钱的同学来这边不错，上次有个香辣虾就一大堆而且不贵，可想这里的消费水平了。,0
28883,这个店是川菜店和火锅店连一起的\n感觉里面装潢特别有江湖气息\n味道挺不错，价格适中，服务员有点慢，总体还是不错的,0
35117,到附近找人，绕错了路，无意中发现的店\n主打是面条，各种面条，没太多感觉\n小笼包不错，传统风格的口味，汁水偏甜，一笼四个\n吃面的人不多，打包小笼包的不少,0
24586,喜欢他的豆浆，饭菜口味较重，基本上饭得味道比面的要好，我喜欢伴着吃。通常转鞍山西道时，进去坐会，既解决温饱问题，又歇歇脚，挺好,1
34331,有时候有什么团购或者家里有啥送的优惠卷就去看看，环境不是很好，有点小，有点旧，没新建文也没大上海好，早上十点也有便宜的电影10或者15吧，好多影院都这样，音响也不太好，就地理位置还不错，距离河南博物院很近，周围不是很繁华,0
8324,小外甥女出生的第一个玩具这里买的\n刚进这家店，就不想出来了，对于还是怀有一颗童心的人来说，真是想把里面的东西都抱回家\n选了很久，最后还是买了个费雪的多功能玩具，买单时才会觉得这价格真是高呀,1
44421,这里的湛江鸡很大一只，三个人，点四分之一的下庄就够吃了，味道不错，还有白切拼盘也很好吃，价钱一般，早期很旺，六点来就没位了。,1
