sentence,label,dataset
味道还不错，粥的量还是挺多的，一家人要了好几种粥，最喜欢的应该就是紫薯燕麦粥了，微甜的味道，软软糯糯的，但是我们要了很多小菜，味道倒是一般，还有的偏咸。几个人喝粥什么的，居然吃掉了二百多块。。。,1,dianping
因为一年一度的端午，带了婆婆、爸妈来吃，可是，人家就是看不起我们等“穷苦人家”，难怪叫西关“世家”，我们不算是世家，因此，等了半个钟也没人来收拾桌子、开卡、倒水，汗！！！！！\n足足等了45分钟，才有人理我们，开了壶茶--个人猜测，也许人太多，水壶不够！！！服务员也不够！！！\n这也没什么。\n毕竟是世家，要试试味道吧。\n满心欢喜地点了广州式的点心和菜，也许是人太多，厨子煮到手软，一道太咸，一道太油.....\n最后埋单，也干等了半小时。\n晕？？？？？？\n这里收服务费，这点才觉得浪费！！！,0,dianping
据说是台湾有名的做类似炸鸡的连锁店，这家和豪大大、第1佳不太一样！豪大大是裹干粉炸；第1佳是事先炸一次，点单再复炸；这家是裹湿粉糊炸，而且是炸好再称分量！口味还可以吧！店员还满热情的！,0,dianping
还是暴风雪味道最好了。\n不过倒杯不洒，感觉动作也太快了一点吧，我都没看清，他就结束了，我还以为会持续一小段时间呢，呵呵。,1,dianping
"这里的米粉我很喜欢吃的，尤其是酸辣笋尖 香菇肉丝粉 牛腩粉,我和朋友来吃过好几次,有时下午茶我也喜欢吃他们家的米粉.味道很不错的.",1,dianping
她家开在那里很久了，\n以前去过那么几次，总体性价比还是不错的，\n就是服务比较差一点，环境一般了点。\n她家的老字号还是有自己的特色的，\n唯一不足的地方就是没多大进步，这也是\n国营老字号的通病。,0,dianping
老板钟爱这家，有幸蹭饭吃，这里的环境真的很好。味道也很地道，稀饭这里的寿司，色相也相当的诱人。总之，爱寿司的朋友们必要来试试。,1,dianping
新酒店里面的环境不错\n菜肴很可口\n还有西班牙的水果酒\n服务不错 领班来自VELENA好像 让我想起了敢死队。。。\n西班牙语一点也听不懂。。。。,1,dianping
类似于萨莉亚，不过价格比萨莉亚稍贵点。也有无限畅饮，15元/位，尝了拿铁、普洱茶，还算过得去。\n    东西味道也不错，不过就是没什么人气，估计地段不好吧。,0,dianping
地方比较小，不过还是挺新的，老板好像对有些游戏也不是很熟悉，呵呵，不过总体上来说还算不错。本来说一桌一包爆米花的，后来，老板还是让我们畅吃的，嘿嘿。\n那边附近很多桌游店的，本来我们不是去这家，后来因为那家没有地方了，才到的这家。,0,dianping
团购的，288号称10头鲍的。尼玛你们家什么称？这东西都好意思叫鲍鱼，还十头？失望。本来想着好味道还可以去下一次，但是这个出品在店里号称卖688，那我脑子是被驴踢了才会去吃！还不如沃尔玛100块的出品。失败。浪费钱！,0,dianping
满怀欣喜中午和同事去聚餐，结果酸汤肥牛里吃出塑料尖壳！服务员说是装金针菇的塑料盒，还以为只是意外，谁知道接连吃出3、4个！！这是意外吗？带着尖头，只扎人！这简直是谋杀，我们要报警，服务员堵在门口不让走，难道还要暴力抗法？最后因为我们8个人强行报警，态度才软下来！简直是流氓餐厅，希望看到这条点评的童鞋，慎重考虑，一旦吃出问题，对方不仅推卸责任，居然还现场拍照，那意思要留下“我们的长相咯”？你们就等着工商局查处你们把！,0,dianping
开业优惠时买了还不错。索性办了一张卡，200元打八五折。说实话现在的面包实在是贵的厉害，他们家的东西总体还不错，用料比较实在，比较新鲜，价位算是中等偏上，部分含奶酪的面包还是不错的！基本上都尝过来了。最喜欢銪鱼三明治和玉米三明治，香蒜面包,0,dianping
喜欢绿茶和奥利奥的暴风雪。。。\n现在吃小杯绿茶的，吃到最后都会有点小腻，奥利奥的更是不敢挑战了，另外，总觉得现在DQ的冰淇淋化的特快。。。夏天可怎么办~~\n双球白蛋卷：这名字起的，就是小甜筒，嘻嘻，偶觉得造型有点像。。。小马桶。。。的感觉，哈哈~~\n喜欢绿茶苦苦涩涩的味道，更喜欢外面下着雪，小博坐在屋里吃冰淇淋的感觉，觉得很温暖~~是不是有点怪异啊。。。\n“倒杯不洒”。。。真的没有洒的时候么，哈哈~~,1,dianping
以前常去书城，现在常来购书中心，这里人没有书城那么多，而且环境好狠多，楼下就有STARBUCKS买完书马上喝咖啡边看书，太惬意了~我还办了卡~可以打折，书城就不行了~而且这里很环保哦~没有袋子，都是用纸绳绑着~~,1,dianping
去买的基本都是丽园路这家店，东西相对于来伊份啥要便宜\n味道么还可以，搞活动时还挺便宜，醉鱼干，泡椒凤爪，鹌鹑蛋啥都挺喜欢的\n相对来说蜜饯类不是很好吃,1,dianping
生意超级好，不预定基本没有位置。菜量很大，人均一个菜的话基本吃不完。确实够辣，我们点的都是微辣的上菜后大家还是吃的满头大汗，但是确实越辣越香~,1,dianping
这家店在海港城附近，出了地铁不知怎么就逛到这里。自己送上门没有不吃的道理~O(∩_∩)O~\n我们去时候是周五，有特惠活动，云吞家蟹黄粥有个套餐很划算，味道很棒。\n香港的特色云吞都是鲜虾馅儿，美味养生不会肥。\n之后结账还送了优惠券，所以我们第二天的晚餐也在这里解决了，价格很实在。,1,dianping
想吃的四种口味都买了，觉得真的不错~皮子很酥松，但是不油，很好很好~~买的人也不少，总之挺赞的~~字数字数字数字数字数,1,dianping
要去云南了，哥说请我吃饭。问我想吃啥，我就说想吃肉。于是到哥公司楼下，找了家烤肉。绝对是肉。哈哈\n点了牛肉，鱿鱼，五花肉，金针菇，还有些凉菜。我又单要了碗凉面。\n话说肉很嫩，很好吃。最爱的还是金针菇。嘿嘿。\n拌的凉菜味道很好，我们几口就给抢光了。\n凉面味道也觉得超好。可是哥说一般，因为他家那边凉面正宗。但是这是我吃过的，目前来说最好吃的了。,1,dianping
这个品牌的便当一度很风行，但是这几年好像有下降的趋势。吃过几次他家的便当，味道还可以，觉得促销太少，现在的饮食店或多或少都在搞活动。他家干巴巴的，什么活动都没有，根本不能吸引人们的注意力。,0,dianping
最常去的超市之一，有免费班车坐，这点很喜欢，而且离新光也近。超市很大，东西也多，不过有时那些促销员态度很不好，一次特生气就把人家说了一顿,1,dianping
喜欢安静、特色的就餐，一定要来这家店！所有菜品都是豆腐蔬菜之类做的，以素做荤，形似味似！环境古香古色，佛韵十足！喜欢三文鱼、椰奶心形布丁、南瓜粥、手卷、炒米饭！铁板鱼、雪梨汁也不错~,1,dianping
去吃寿司自助，出品比不上大禾，种类也少，但是和那些什么禾绿之类的比还是划算的。\n寿司是手握的，不会很大块，三文鱼也新鲜，味道都不错的。\n雪糕虽不是明治，但也有雀巢。\n广岛烧饼，奉劝大家还是不需要尝试了。\n服务方面，蛮不错的，下单后不久就到，59的价位还是可以再来尝试的，下次可以试试肥牛自助，毕竟本人还是喜欢多吃肉哦，呵呵。。。,0,dianping
如果各位去肥婶包房食饭的话千万不要点菊花茶饮啊！点解？因为今日有食客发现D菊花--生虫，整个茶罐里爬满了几十只虫仔，好恐怖！服务员根本睇都唔睇就直接冲茶俾人饮，搞到D食客一D都无嗮胃口！今后建议大家看清楚再点，对于商家这种工作疏忽要严厉批评。再此曝光事件，希望商家把好材料关！,0,dianping
